,gene,pagerank
0,Pax4,0.1353345517080786
1,Mnx1,0.07983733269066981
2,Pdx1,0.06259693945626661
3,Creb3l2,0.030946671205107558
4,Jund,0.022335613108679986
5,Cdx2,0.02129668986978955
6,Nkx6-1,0.020273176619127784
7,Arx,0.02002919653138202
8,Klf8,0.02002919653138202
9,Maff,0.019348310089818865
10,Jun,0.018376447465558856
11,Foxa3,0.018308494568164434
12,Etv1,0.017982170030058482
13,Foxa2,0.014729672366844419
14,Xbp1,0.012523432693195715
15,Ing4,0.009794064024764331
16,Etv5,0.009794064024764331
17,Sox9,0.00852825683961864
18,Klf3,0.0072921427453688965
19,Rfx3,0.006382353189225102
20,Gata6,0.0059274584111532035
21,Atf3,0.0057000110221172556
22,Zfp711,0.0057000110221172556
23,Sox4,0.0039259213876368555
24,Ovol2,0.0029706423536858713
25,Hmga2,0.0029706423536858713
26,Myrf,0.0029706423536858713
27,Rara,0.0029706423536858713
